rank,name,english_name,province,rating,educational_level
1,清华大学,Tsinghua University,北京,992.6,36.1
2,北京大学,Peking University,北京,898.6,34.9
3,浙江大学,Zhejiang University,浙江,793.8,34.9
4,上海交通大学,Shanghai Jiao Tong University,上海,776.3,35.6
5,复旦大学,Fudan University,上海,697.0,36.6
6,南京大学,Nanjing University,江苏,656.1,37.1
7,中国科学技术大学,University of Science and Technology of China,安徽,578.4,40.0
8,华中科技大学,Huazhong University of Science and Technology,湖北,578.0,32.2
9,武汉大学,Wuhan University,湖北,577.3,31.7
10,西安交通大学,Xi'an Jiaotong University,陕西,566.4,34.6
11,中山大学,Sun Yat-sen University,广东,539.6,32.0
12,北京航空航天大学,Beihang University,北京,537.2,33.1
13,东南大学,Southeast University,江苏,530.7,34.6
14,北京理工大学,Beijing Institute of Technology,北京,530.2,33.6
15,四川大学,Sichuan University,四川,527.9,30.0
16,哈尔滨工业大学,Harbin Institute of Technology,黑龙江,514.1,32.6
17,同济大学,Tongji University,上海,509.6,35.2
18,中国人民大学,Renmin University of China,北京,508.3,34.3
19,北京师范大学,Beijing Normal University,北京,501.4,32.1
20,天津大学,Tianjin University,天津,491.5,33.1
21,南开大学,Nankai University,天津,481.8,31.8
22,山东大学,Shandong University,山东,476.3,29.7
23,西北工业大学,Northwestern Polytechnical University,陕西,459.9,33.4
24,厦门大学,Xiamen University,福建,458.2,32.1
25,中南大学,Central South University,湖南,456.1,30.6
26,吉林大学,Jilin University,吉林,443.7,30.5
27,中国农业大学,China Agricultural University,北京,440.6,31.5
28,大连理工大学,Dalian University of Technology,辽宁,435.7,31.3
29,华东师范大学,East China Normal University,上海,431.2,32.6
30,华南理工大学,South China University of Technology,广东,430.6,30.4
31,电子科技大学,University of Electronic Science and Technology of China,四川,426.1,30.6
32,湖南大学,Hunan University,湖南,422.2,30.8
33,重庆大学,Chongqing University,重庆,407.5,30.6
34,南方科技大学,Southern University of Science and Technology,广东,396.4,32.6
35,北京科技大学,University of Science and Technology Beijing,北京,384.8,33.1
36,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,江苏,380.1,30.2
37,南京理工大学,Nanjing University of Science and Technology,江苏,373.4,31.6
38,兰州大学,Lanzhou University,甘肃,367.6,31.8
39,东北大学,Northeastern University,辽宁,366.8,32.2
40,西安电子科技大学,Xidian University,陕西,355.4,30.8
41,北京交通大学,Beijing jiaotong University,北京,352.1,31.4
42,上海科技大学,ShanghaiTech University,上海,348.5,37.4
43,苏州大学,Soochow University,江苏,347.0,29.5
44,华东理工大学,East China University of Science and Technology,上海,341.5,30.9
45,哈尔滨工程大学,Harbin Engineering University,黑龙江,340.9,32.4
46,东北师范大学,Northeast Normal University,吉林,340.8,31.6
